,name,gender,hometown,age,education,income,experience,period,drawdown,debt,risk,attitude
0,Jason,1,HK,2,5,5,4,3,3,2,3,4
1,Elizabeth,2,Hunan,5,5,5,5,5,5,5,5,5
2,Xia Zhou,2,Hubei,3,4,2,2,1,3,2,1,2
3,lucy,2,China,3,3,3,5,2,3,3,1,3
4,Xiaoqin Li,2,Wuhan,3,3,3,1,2,1,5,3,5
5,Daisy,2,China,3,4,4,5,4,4,2,4,4
6,Tyrone,1,Hk,2,4,2,1,1,2,1,1,1
7,Jercy,2,china,3,2,3,2,2,3,3,2,2
8,Li Chung,2,shenzhen,3,3,2,5,2,2,2,1,1
9,Coco,2,Foshang,2,4,1,1,2,2,2,2,2
10,Lili,2,shenzhen,3,4,4,5,3,3,3,2,2
11,Viki,1,Hnagzhou,3,2,4,5,3,3,3,2,3
12,kw,1,hk,4,2,4,5,2,2,2,2,2
13,Michael,1,Singapore,3,4,2,3,2,2,5,3,1
14,Ricky,1,Anhui,2,4,1,1,1,3,1,3,3
15,Lucky,1,Shanxi,2,3,2,2,2,2,4,2,2
16,Steven,1,Shanghai,5,3,5,5,4,3,3,4,4
17,Julie Webster,2,Hong Kong,2,4,2,1,1,2,1,1,1
18,George Tom,1,Hong Kong,4,5,3,4,3,3,5,4,2
19,York Lou(ie),1,Sichuan,5,2,1,3,2,2,3,2,1
20,Geraldine Freeman,2,Hong Kong,3,3,3,3,2,3,3,4,1
21,Shen Hai,1,Shenzhen,2,4,4,3,2,3,3,3,3
22,Brady Cocker,1,Anhui,3,4,5,4,3,4,5,4,4
23,Gerald Maud,1,Hong Kong,3,5,3,2,2,3,2,2,2
24,Viola Snow,2,Hong Kong,3,3,2,5,2,2,2,1,1
25,Edwina Sophia,2,shenzhen,5,5,5,5,5,5,5,5,5
26,Basil Garden,1,Hong Kong,1,2,1,1,1,1,1,1,1
27,Taylor Dutt,1,Taiwan,3,3,3,1,2,1,5,3,5
28,Mike Moulton,1,Shandong,3,3,3,1,2,1,5,3,5
29,Elroy Gallup,1,Hong Kong,1,3,1,1,1,2,1,2,2
30,Deborah Vaughan,2,Hong Kong,1,3,1,1,1,2,1,2,2
31,Hilda Frank,2,Hong Kong,3,4,2,2,1,3,2,1,2
32,Pag Dillon,2,Fujian,1,2,1,1,2,2,3,2,1
33,Xiao Qiu,1,Hong Kong,3,2,3,5,5,5,2,5,3
34,Mag Dodd,2,Taiwan,3,5,5,5,4,4,3,4,5
35,Tan Yan,1,Hong Kong,3,4,4,5,3,3,3,2,2
36,Bevis MacMillan,1,Hong Kong,1,1,1,2,2,3,4,3,3
37,Sebastian Augustus,1,Thailand,2,4,1,1,1,3,1,3,3
38,Kennedy Foster,1,Shenzhen,1,2,1,1,1,1,3,1,1
39,Solomon Christ,1,hk,1,3,1,1,1,2,1,2,2
40,Quentin Jacob,1,Hong Kong,4,5,3,3,2,4,3,2,3
41,Ellis Howard,1,Canton,3,4,5,2,2,3,5,3,1
42,Morton Camp,1,Shenzhen,2,5,5,5,5,5,1,5,5
43,Simon Bray,1,Hong Kong,2,4,4,1,1,1,4,1,2
44,Peng Feng,2,Hong Kong,4,2,4,5,2,2,2,2,2
45,Cui Wen,1,Tianjin,5,3,3,3,2,3,3,3,2
46,Dylan Eugen,1,Hong Kong,2,4,1,1,1,3,1,3,3
47,Madina Helpe,2,Hong Kong,5,4,3,1,1,1,4,1,2
48,Huo Yuhan,1,Hong Kong,3,3,4,3,2,2,3,2,1
49,Deirdre Tennyson,2,Hong Kong,3,4,2,3,2,2,5,3,1
50,Wallis Hamlet,2,Hong Kong,1,3,1,1,1,1,1,1,1
51,Griffith Andrew,1,HK,3,3,3,5,2,3,3,1,3
52,Jin Tu,1,Hong Kong,4,4,4,2,3,2,5,4,5
53,Teng Yong,2,Hainan,3,3,2,5,2,2,2,1,1
54,Teresa Abraham,2,Shenzhen,5,4,5,5,5,4,4,5,5
55,Horace Barnard,1,HK,3,3,2,5,2,2,2,1,1
56,Broderick Barney,1,Hong Kong,3,3,3,1,2,1,5,3,5
57,April Yonng,2,Hunan,4,2,4,5,2,2,2,2,2
58,Xiang Cui,2,shenzhen,3,4,5,5,4,4,2,4,3
59,Constance Wood,2,Hong Kong,3,4,2,3,2,2,5,3,1
60,Darlene Edmund,2,Hong Kong,4,5,3,3,3,5,3,5,5
61,Tan Xuegang,2,Hong Kong,4,4,4,4,3,4,3,4,2
62,Una Arabella,2,Hong Kong,3,5,5,5,4,4,3,4,5
63,Jonas Rossetti,1,Zhejiang,2,3,2,2,2,2,4,2,2
64,Zhong Jingyi,2,Hong Kong,3,3,2,5,2,2,2,1,1
65,Zheng Wei,2,Hong Kong,2,4,1,1,1,3,1,3,3
66,Sidney Walpole,1,Hong Kong,3,3,2,5,2,2,2,1,1
67,Quan Wei,2,Philippines,5,3,2,1,1,1,4,1,1
68,Truda Nora,2,Hong Kong,2,4,3,3,2,3,3,4,2
69,Leonard Bronte,1,Brunei,5,3,3,5,4,3,3,4,4
70,Zhen Shi,2,Hong Kong,2,3,3,4,2,2,2,1,1
71,Fan Yating,1,Japan,3,4,5,5,5,5,5,5,5
72,Gail Richards,2,Mongolia,5,2,1,2,2,3,3,3,1
73,Grace Ramsden,2,Hong Kong,5,2,1,3,2,3,3,3,2
74,Shao Guiying,1,Hong Kong,4,3,3,4,3,4,3,4,3
75,Clara Christian,2,Shenzhen,4,5,3,3,2,4,3,2,3
76,Henry Dalton,1,Vietnam,3,3,3,5,2,3,3,1,3
77,Verne Lily,1,Hong Kong,4,3,5,5,4,4,4,3,4
78,Deirdre Robin,2,Shenzhen,3,3,3,1,2,1,5,3,5
79,Long He,2,India,2,3,2,2,2,2,4,2,2
80,Bruce Hamlet,1,Hong Kong,4,2,2,1,2,2,5,2,2
81,Katagiri Hogai,1,Hong Kong,5,3,5,5,3,3,3,3,3
82,Jia Zhou,2,Hong Kong,2,4,3,1,1,1,4,1,3
83,Kenneth Coffey,1,Hunan,3,4,4,5,4,4,2,4,4
84,Otis Thorndike,1,Wulongmuqi,3,3,4,4,3,2,4,2,1
85,Franklin Billy,1,Hong Kong,3,2,3,3,2,3,3,3,4
86,Xuan Hong,1,Hong Kong,2,4,4,4,4,4,2,4,5
87,Xing Cai,1,Hong Kong,5,3,5,5,4,3,3,4,4
88,Roberta Carmen,2,HK,2,3,2,2,2,2,4,2,2
89,Agnes Petty,2,Hong Kong,1,2,1,1,1,1,3,1,1
90,Mao Cui,2,Taiwan,3,3,3,1,2,1,5,3,5
91,Cai Zhen,1,Hong Kong,2,4,1,1,1,3,1,3,3
92,Annabelle Bentham,2,Hong Kong,2,1,2,1,1,2,2,1,1
93,Brook Doyle,1,Shanghai,3,3,3,1,2,1,5,3,5
94,Yang Qiu,1,Hong Kong,5,4,4,5,4,5,2,5,4
95,Gustave Scott,1,Hong Kong,5,5,5,5,5,5,5,5,5
96,Jo Baldwin,1,Shenzhen,5,4,4,1,2,2,3,2,2
97,Yehudi Walker,1,Brunei,5,3,3,2,2,2,3,2,2
98,Wei Tai,1,India,3,4,2,2,1,3,2,1,2
99,Giles Lloyd,1,Hong Kong,4,5,5,5,5,5,3,5,5
100,Quentin Hamlet,1,Hong Kong,3,2,4,5,3,3,3,2,3
101,Calvin Harriman,1,Shanxi,2,5,5,4,3,3,2,3,4
102,Maxwell Graham,1,Shanxi,3,5,3,2,2,3,2,2,2
103,Leonard Windsor,1,hk,2,3,2,4,2,3,5,4,4
104,Armstrong Tomlinson,1,Hong Kong,2,1,1,5,5,5,2,5,5
105,Raymond Macaulay,1,Hong Kong,1,2,1,1,2,2,3,2,3
106,Zhong Shufen,2,Hong Kong,3,4,4,5,3,3,3,2,2
107,Mark Harry,1,Japan,4,2,4,5,2,2,2,2,2
108,Ralap Saroyan,1,HK,3,2,3,1,2,1,4,1,3
109,Aguni Harumi,1,Hong Kong,3,4,2,3,2,2,5,3,1
110,Hamiltion Benjamin,1,Hong Kong,3,2,3,2,2,3,3,2,2
111,Fitch Macaulay,1,Macao,5,5,5,5,4,5,2,5,4
112,Montague Will,1,Hong Kong,3,5,3,2,2,3,2,2,2
113,Emily Taylor,2,Sichuan,2,3,2,2,2,2,4,2,2
114,Sheila Black,2,HK,1,3,1,1,1,1,1,1,1
115,Sarah Roy,2,Hong Kong,4,4,3,5,3,3,3,2,2
116,Lewis Timothy,1,Hong Kong,3,3,3,1,2,1,5,3,5
117,Leona Darwin,2,Hong Kong,5,4,5,5,5,4,4,5,5
118,Evelyn Aled(k),2,Hong Kong,5,4,3,5,3,4,2,4,3
119,Irma Douglas(s),2,Hong Kong,4,5,3,3,2,4,3,2,3
